Country of Foreign Investor,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)"
998-No Foreign Investor Listed,31,126,"101,137","235,526"
999-No Predominant Country Code,5,8,"14,705","26,736"
Argentina,9,13,"11,024","39,699"
Austria,2,2,560,538
Brazil,3,3,594,"4,660"
British Virgin Islands,3,3,"5,630","19,435"
Canada,6,11,908,"5,566"
Cayman Islands,4,18,"136,336","156,730"
China,1,122,"28,444","814,164"
Cook Islands,1,4,"7,399","56,846"
France,3,4,"6,286","1,985"
Germany,17,258,"81,122","253,488"
Italy,22,127,"26,525","51,111"
Japan,1,2,287,517
Liechtenstein,1,3,682,"3,865"
Luxembourg,1,1,"8,149","19,002"
Mexico,2,2,49,86
Netherlands,8,14,"2,830","12,079"
Portugal,7,13,953,"1,933"
South Africa,1,1,136,550
Swaziland,1,2,208,"1,487"
Sweden,10,26,"72,841","129,993"
Switzerland,1,7,667,"10,290"
United Kingdom,5,6,"16,623","33,235"
Uruguay,1,2,"4,962","17,000"
Subtotal 2/,146,778,"529,057","1,896,521"
US/999‐No Predominant Country Code,3,3,"22,492","70,563"
US/Argentina,2,2,"2,286","7,562"
US/Austria,1,1,144,460
US/Belgium,1,9,653,"8,448"
US/Brazil,2,2,965,"10,580"
US/British Virgin Islands,1,2,150,"1,724"
US/Canada,14,21,"25,578","18,259"
US/France,1,3,98,"1,050"
US/Germany,5,16,"14,225","30,079"
US/Indonesia,1,4,360,"7,144"
US/Japan,2,3,461,996
US/Liechtenstein,1,1,375,"1,200"
US/Netherlands,1,10,124,493
US/Panama,1,2,216,"2,575"
US/Singapore,1,49,"5,102","86,943"
US/Switzerland,1,3,150,590
US/United Iingdom,2,2,"6,332","3,750"
Subtotal 3/,40,133,"79,711","252,416"
Total All Land Acquisitions,186,911,"608,768","2,148,937"
