Country of Foreign Investor,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)"
998-No Foreign Investor Listed,10,26,"17,140","188,771"
999-No Predominant Country Code,5,7,"47,379","146,764"
Australia,22,41,"32,753","42,023"
Belgium,1,1,271,950
Brazil,1,1,277,272
British Virgin Islands,1,1,580,"2,750"
Cambodia,2,4,541,2
Canada,46,"3,756","1,997,622","72,144"
Cayman Islands,3,3,"7,515","71,183"
China,1,1,52,172
Denmark,4,50,"55,708","6,176"
Egypt,1,1,"16,105","47,154"
France,9,334,"146,911","220,960"
Germany,8,26,"48,445","74,241"
Hong Kong,2,2,"1,745",63
Italy,42,618,"232,492","321,007"
Luxembourg,4,24,"47,580","84,100"
Mexico,1,1,321,100
Netherlands,6,27,"3,855","15,242"
No Principal Place Of Business,1,1,318,2
Portugal,22,50,"68,318","188,935"
Singapore,2,2,"1,875",23
South Africa,1,1,27,75
Spain,2,3,"16,929","8,394"
United Kingdom,111,318,"441,362","1,365,815"
Subtotal 2/,308,"5,299","3,186,118","2,857,315"
US/998-No Foreign Investor Listed,8,35,"12,435","11,363"
US/999-No Predominant Country Code,2,2,580,"10,543"
US/Canada,9,56,"51,870","76,400"
US/Cayman Islands,1,2,214,"2,208"
US/Cook Islands,1,3,797,"7,078"
US/France,7,17,905,"9,496"
US/Germany,3,3,312,662
US/Ireland,1,1,60,"1,850"
US/Luxembourg,1,2,"20,858","38,770"
US/Mexico,3,3,73,318
US/Netherlands,1,1,"3,428","1,651"
US/Singapore,1,5,"2,118","35,027"
US/Sweden,1,3,"140,032","571,041"
US/Switzerland,3,3,"1,849","10,086"
Subtotal 3/,42,136,"235,532","776,492"
Total All Land Acquisitions,350,"5,435","3,421,650","3,633,807"
