Country of Foreign Investor,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)"
998-No Foreign Investor Listed,27,53,"76,510","150,272"
999-No Predominant Country Code,8,9,"44,245","157,246"
Argentina,4,4,"3,082","22,662"
Australia,1,1,"1,700","2,550"
Belize,1,1,610,"2,400"
British Virgin Islands,2,2,"2,595","14,760"
Canada,26,57,"118,752","328,082"
Cayman Islands,1,1,"103,726","45,764"
China,1,1,98,300
Cook Islands,1,1,119,"1,244"
France,3,3,"17,241","9,779"
Germany,9,15,"41,031","76,701"
Guatemala,1,1,"4,637","17,300"
India,4,4,157,70
Ireland,2,3,"15,527","27,251"
Italy,29,186,"88,229","90,525"
Malaysia,1,1,206,"1,550"
Netherlands,4,5,755,"2,607"
Portugal,13,33,"43,262","117,188"
Singapore,3,3,459,32
Sweden,15,15,"6,366","35,531"
Switzerland,4,8,"2,763","11,562"
United Kingdom,4,28,"30,543","52,366"
Uruguay,2,4,"1,253","4,518"
Subtotal 2/,166,439,"603,870","1,172,260"
US/998-No Foreign Investor Listed,6,11,"3,253","56,573"
US/999-No Predominant Country Code,1,1,40,"4,400"
US/Austria,1,1,3,56
US/Belgium,1,19,"2,031","14,088"
US/Bermuda,1,1,247,666
US/Canada,8,8,"4,769","9,634"
US/France,4,31,"5,639","5,991"
US/Germany,3,3,637,"1,450"
US/Indonesia,2,6,278,"6,580"
US/Italy,1,1,1,"1,400"
US/Japan,2,3,65,"11,194"
US/Mexico,1,1,882,"14,080"
US/Netherlands,3,8,"1,503","10,525"
US/Switzerland,4,5,808,"2,925"
US/United Kingdom,1,3,"14,180","34,450"
US/Viet Nam,1,1,11,"10,100"
Subtotal 3/,40,103,"34,346","184,111"
Total All Land Acquisitions,206,542,"638,217","1,356,372"
