Country of Foreign Investor,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)"
998-No Foreign Investor Listed,7,27,"32,420","222,999"
Australia,34,71,"61,112","120,570"
Austria,5,20,"56,920","108,796"
British Virgin Islands,1,1,40,283
Cambodia,6,6,"2,408","1,139"
Canada,97,"5,151","1,877,086","1,717,642"
Cayman Islands,1,1,"6,054","11,045"
China,1,3,"2,527","6,300"
Cuba,1,4,800,4
Denmark,9,38,"12,074","25,099"
France,2,2,617,"51,896"
Germany,8,11,"8,984","16,003"
Italy,42,613,"176,420","322,917"
Japan,3,3,141,"13,409"
Kuwait,1,3,"4,962","12,400"
Lebanon,1,1,12,380
Luxembourg,2,24,"4,326","3,154"
Mexico,3,3,"10,456","52,585"
Netherlands,4,4,"18,783","1,329"
Portugal,15,26,"27,529","142,502"
Sweden,1,1,"12,597","20,027"
Switzerland,5,14,"16,053","315,463"
United Kingdom,52,280,"157,372","934,505"
Uruguay,1,1,202,820
Venezuela,1,1,920,"8,487"
Subtotal 2/,303,"6,309","2,490,818","4,109,755"
US/998-No Foreign Investor Listed,5,13,"4,846","42,113"
US/999-No Predominant Country Code,1,1,41,"2,400"
US/Australia,1,1,"5,212","8,886"
US/Canada,4,9,"35,297","145,382"
US/Cayman Islands,2,6,"3,904","32,248"
US/China,1,7,"131,415","130,315"
US/India,1,1,114,"1,590"
US/Ireland,1,1,305,"1,032"
US/Japan,1,1,"2,393",0
US/Netherlands,1,1,897,"9,520"
US/Singapore,1,12,685,"38,632"
US/Switzerland,1,1,1,2
Subtotal 3/,20,54,"185,110","412,121"
Total All Land Acquisitions,323,"6,363","2,675,928","4,521,876"
