Country of Foreign Investor,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)"
Argentina,3,3,"4,595","11,705"
Australia,1,1,171,780
Austria,4,7,"1,326","14,676"
Belgium,7,33,"65,550","32,466"
Bermuda,1,1,440,"5,500"
British Virgin Islands,7,8,"8,739","31,621"
Canada,30,51,"36,937","84,317"
Channel Islands,1,1,"1,908","34,432"
Cook Islands,2,2,404,"1,919"
Denmark,5,20,"59,557","77,482"
France,2,39,"54,754","86,410"
Germany,37,69,"70,853","234,772"
Ireland,3,5,"1,465","8,203"
Italy,42,919,"305,271","644,611"
Liechtenstein,1,1,607,228
Luxembourg,1,1,10,80
Mexico,5,6,681,"7,345"
Nepal,1,1,210,325
Netherlands,28,70,"132,878","175,824"
New Zealand,3,3,214,"2,764"
Portugal,50,199,"300,301","711,210"
Saudi Arabia,4,4,656,"44,880"
South Africa,1,1,111,200
Spain,4,19,"16,817","61,749"
Switzerland,1,11,"1,158","11,962"
United Kingdom,17,132,"161,700","293,515"
Uruguay,1,2,"7,707","26,405"
Venezuela,3,3,403,"2,948"
998-No Foreign Investor Listed,1,1,101,"2,525"
999-No Predominant Country Code,6,17,"102,737","134,030"
Subtotal 2/,272,"1,630","1,338,261","2,744,884"
US/Austria,2,3,88,"1,548"
US/Belgium,3,17,"1,300","15,368"
US/Brazil,1,1,57,311
US/Canada,22,57,"15,649","52,011"
US/China,2,2,175,753
US/Colombia,2,2,"2,274","19,450"
US/Denmark,5,6,"10,924","9,058"
US/Finland,1,2,"6,505","6,160"
US/France,6,119,"205,444","214,107"
US/Germany,10,19,"26,864","123,592"
US/Indonesia,3,4,940,"14,065"
US/Italy,1,1,"11,996","35,988"
US/Japan,2,4,630,"2,801"
US/Korea (South),1,1,84,"1,150"
US/Liechtenstein,2,2,"1,286","4,738"
US/Luxembourg,1,1,507,"1,700"
US/Mexico,1,1,101,"3,082"
US/Netherlands,5,9,952,"12,984"
US/Norway,2,36,"3,413","7,293"
US/Saudi Arabia,1,1,63,778
US/Singapore,1,1,"4,846","2,646"
US/Spain,4,4,"1,162","2,932"
US/Swaziland,2,2,"3,612","6,088"
US/Switzerland,6,17,"2,369","18,731"
US/United Kingdom,6,9,"4,993","4,086"
US/Venezuela,1,1,640,240
Subtotal 3/,93,322,"306,874","561,660"
Total All Land Acquisitions,365,"1,952","1,645,135","3,306,544"
