Country,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)",
Argentina,63,86,"68,136","315,883",
Australia,34,46,"63,712","111,605",
Austria,61,121,"157,902","107,667",
Bahamas,38,52,"54,689","87,292",
Belgium,98,140,"124,385","54,954",
Belize,6,9,"1,183","2,626",
Bermuda,46,55,"28,960","40,631",
Bolivia,2,2,11,47,
Brazil,15,27,"13,250","22,353",
Cambodia,1,1,31,80,
Canada,"1,539","2,303","4,687,774","4,585,860",
Cayman Islands,46,75,"576,121","717,402",
Channel Islands,5,11,"4,458","56,868",
Chile,7,11,"2,097","7,366",
China,73,254,"190,927","1,852,068",
Colombia,40,54,"11,990","23,228",
Cook Islands,12,23,"14,355","102,959",
Costa Rica,8,10,"13,835","12,212",
Cote D'ivoire,1,1,119,100,
Croatia,1,1,160,115,
Cuba,3,4,58,"1,374",
Cyprus,1,3,567,"6,064",
Czech Republic,2,2,347,27,
Denmark,34,93,"350,914","650,042",
Dominican Republic,3,3,29,128,
Ecuador,19,25,481,"6,334",
Egypt,16,17,"1,540","7,296",
El Salvador,5,5,406,"1,495",
Finland,1,1,80,119,
France,168,328,"490,861","1,081,078",
Gambia,1,1,294,118,
Germany,"1,084","2,280","1,040,308","2,777,183",
Gibraltar,3,4,678,"5,118",
Greece,16,22,"61,882","15,573",
Guatemala,13,14,"5,870","20,974",
Guyana,1,1,35,180,
Honduras,13,15,"1,108","7,361",
Hong Kong,60,79,"10,164","46,544",
Hungary,1,1,103,80,
India,20,22,"2,882","7,070",
Indonesia,2,2,718,655,
Iran (Islamic Republic Of),22,25,"2,463","6,906",
Ireland,29,234,"76,106","123,318",
Israel,10,13,"2,097","12,632",
Italy,183,"4,548","1,456,050","3,440,844",
Jamaica,4,4,567,470,
Japan,137,211,"280,818","791,447",
Jordan,18,23,"1,947","15,481",
Kenya,1,1,91,256,
"Korea, Republic of",23,23,"2,533","13,112",
Kuwait,10,15,"19,822","11,888",
Laos,1,1,31,208,
Lebanon,30,39,"10,449","18,727",
Liberia,13,15,"8,985","8,426",
Liechtenstein,107,175,"123,118","255,811",
Lithuania,1,1,27,32,
Luxembourg,20,68,"367,711","761,503",
Malaysia,8,13,"9,253","25,233",
Mauritius,1,1,622,"14,722",
Mexico,254,337,"260,805","171,757",
Morocco,1,4,875,"9,745",
Namibia,1,2,106,703,
Nepal,2,6,"5,357","3,354",
Netherlands,693,"1,307","4,461,442","6,046,473",
New Zealand,14,59,"33,971","1,627,438",
Nicaragua,3,4,"1,378","3,174",
Norway,17,17,"4,895","5,069",
Oman,2,5,454,"2,478",
Pakistan,9,12,"1,677","2,222",
Panama,114,145,"110,665","172,424",
Peru,20,21,388,"1,426",
Philippines,31,40,"3,760","7,262",
Poland,5,9,"4,509","4,211",
Portugal,99,777,"1,329,075","2,613,766",
Russian Federation,5,8,834,"3,036",
Saint Vincent and the Grenadines,2,4,"2,637","4,056",
Saudi Arabia,42,54,"18,347","162,623",
Singapore,8,9,"1,188","10,955",
Somalia,1,1,11,28,
South Africa,15,17,"10,705","215,014",
Spain,53,174,"201,676","297,886",
State of Palestine,1,1,"11,421","9,127",
Sweden,60,118,"217,275","381,380",
Switzerland,367,539,"295,770","359,875",
Syrian Arab Republic,6,7,"2,574","4,147",
"Tanzania, United Republic of",1,1,59,649,
Thailand,8,10,"1,785","12,604",
Trinidad and Tobago,3,3,94,371,
Turkey,1,1,38,145,
Turks and Caicos Islands,9,13,"3,292","3,283",
United Arab Emirates,12,41,"6,679","366,428",
United Kingdom,296,621,"713,168","841,140",
United States,1,1,510,"2,500",
Uruguay,11,17,"23,613","63,043",
Uzbekistan,1,1,40,420,
Venezuela,98,167,"25,372","93,143",
Viet Nam,1,1,152,930,
Virgin Islands (British),47,78,"75,630","119,588",
Zimbabwe,1,1,230,80,
998 - No Foreign Investor Listed,90,328,"392,456","4,287,635",
999 - No Predominant Country Code,80,158,"379,782","628,796",
Subtotal 2/,,"6,665","16,733","18,950,809","36,777,528"
US/Andorra,,1,1,"3,741","1,300"
US/Argentina,,7,13,"5,346","10,616"
US/Australia,,24,49,"17,846","46,577"
US/Austria,,20,111,"23,091","32,811"
US/Bahamas,,19,43,"42,050","79,383"
US/Barbados,,1,2,82,739
US/Belgium,,33,265,"116,942","137,605"
US/Belize,,1,2,252,660
US/Bermuda,,19,52,"14,515","13,385"
US/Brazil,,8,66,"16,320","44,446"
US/Canada,,382,"1,621","2,583,816","3,450,947"
US/Cayman Islands,,14,31,"34,500","55,484"
US/Channel Islands,,2,10,"1,268","6,296"
US/Chile,,2,4,"9,948","1,374"
US/China,,62,84,"55,616","80,957"
US/Colombia,,16,32,"27,575","55,464"
US/Costa Rica,,4,4,"1,092","7,246"
US/Denmark,,20,54,"363,440","375,310"
US/Dominican Republic,,1,1,589,825
US/Ecuador,,4,4,"2,082","3,335"
US/Egypt,,6,19,"3,061","5,913"
US/El Salvador,,2,2,52,638
US/Finland,,7,115,"209,669","24,295"
US/France,,143,943,"596,547","755,069"
US/Germany,,266,"1,086","841,683","1,052,932"
US/Greece,,4,5,"5,664","66,530"
US/Guatemala,,2,3,412,"1,018"
